timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1519733905778287,4,10,20,23,19,7,3,2
1519733905778287,0,1,1,4,15,-2,4,0
1519733905793328,-3,-3,-6,-3,8,-2,-1,-1
1519733905793328,-2,-3,-3,-4,-14,-2,-9,-2
1519733905801349,-4,-7,-10,-7,0,-3,-4,-1
1519733905801349,-1,-1,-1,-12,-21,0,-1,1
1519733905808367,0,-1,-1,1,1,-5,-3,0
1519733905808367,-1,1,-2,-4,3,-1,1,-1
1519733905818394,-1,-3,1,-6,-1,-1,1,-1
1519733905818394,-2,-1,2,3,7,12,-3,-1
1519733905831430,-1,-3,-5,-6,-18,-25,-2,2
1519733905831430,0,1,4,5,1,2,-1,-6
1519733905838459,0,-2,-5,-11,-20,-29,0,1
1519733905838459,3,2,2,9,20,4,-1,-2
1519733905853487,-4,-1,1,5,19,30,-4,-2
1519733905853487,2,2,2,-4,-9,-11,-3,0
1519733905864516,-2,-4,-8,-5,-6,3,-3,-4
1519733905864516,-7,-2,-5,-2,-5,-11,-1,0
1519733905876549,3,2,8,12,3,4,2,-1
1519733905876549,7,-1,-3,0,2,-1,10,6
1519733905891588,-7,-2,0,0,-8,10,0,-4
1519733905891588,1,-3,-4,-8,-4,-5,3,4
1519733905905639,-3,-1,-1,4,-10,-4,5,-2
1519733905905639,-1,-2,-5,-3,12,18,-6,0
1519733905913648,4,2,5,2,14,-3,-2,8
1519733905913648,-4,0,1,-1,-22,-9,-3,-14
1519733905928686,-3,-1,-1,-8,-1,-1,-1,-4
1519733905928686,1,0,0,0,-4,-2,2,-1
1519733905943727,3,1,0,-2,-4,5,-2,1
1519733905943727,-5,-4,-3,-1,-3,0,0,-1
1519733905950753,-2,2,-2,-1,2,-5,4,1
1519733905950753,2,0,-1,-5,-6,-2,4,1
1519733905958767,-1,-2,-3,-5,-8,-13,-14,-4
1519733905958767,-4,-3,-2,2,7,2,5,-2
1519733905965785,-3,-2,3,3,-4,-2,0,-2
1519733905965785,0,-3,-9,-9,-3,2,0,1
1519733905988847,-1,1,2,1,11,-4,2,1
1519733905988847,-1,2,5,10,2,-1,-2,0
1519733905995866,1,-1,-2,0,-1,1,9,-2
1519733905995866,0,-1,-2,-4,-6,-1,-2,0
1519733906010905,-1,-3,0,1,-5,2,2,-2
1519733906010905,-2,-1,-2,-7,-1,-2,-1,-1
1519733906018927,0,0,0,0,-5,-1,0,-1
1519733906018927,-2,-1,-5,-5,1,3,-2,0
1519733906033967,-1,0,2,-3,-3,1,3,4
1519733906033967,0,-3,-2,0,2,-3,0,-7
1519733906040985,-2,-1,-1,-6,-8,-2,-4,0
1519733906040985,-2,-3,-2,-3,0,-6,-3,2
1519733906049007,3,0,-1,-2,0,0,-5,-1
1519733906049007,-1,1,0,1,-2,-4,-2,1
1519733906056025,-1,-1,-3,-2,1,5,-6,-2
1519733906056025,1,-1,2,4,1,0,1,-1
1519733906071066,-2,0,-1,-2,-4,-3,3,0
1519733906071066,-2,0,0,-1,-1,0,-4,0
1519733906079087,0,-1,-3,0,4,3,1,-1
1519733906079087,-1,-1,1,0,-6,-4,-2,1
1519733906095130,-1,1,-3,-3,1,5,0,0
1519733906095130,-2,0,-1,1,1,-12,-2,-3
1519733906108164,-1,-3,-5,-5,-1,4,2,0
1519733906108164,-3,-1,1,12,-7,-7,-7,-4
1519733906116186,0,2,2,1,5,-1,1,1
1519733906116186,-1,-1,-3,1,0,5,1,0
1519733906123204,0,-2,0,-2,-4,2,1,-1
1519733906123204,-2,-3,1,5,1,-7,5,-2
1519733906138245,-1,1,0,-4,4,4,2,0
1519733906138245,-1,-3,-3,-5,0,-2,0,-1
1519733906146278,0,0,-1,-3,-2,-2,1,2
1519733906146278,2,0,1,-4,-1,1,0,-4
1519733906161306,0,0,0,-4,-6,-2,-3,-1
1519733906161306,2,1,2,3,2,4,3,1
1519733906168325,-3,-1,0,8,8,1,2,0
1519733906168325,0,-3,-4,-8,-10,-4,-9,-1
1519733906183365,0,0,1,-2,2,4,3,-2
1519733906183365,-9,-5,-5,-10,-10,-16,-13,-5
1519733906198404,2,0,-1,-3,-2,-2,-1,0
1519733906198404,-2,0,0,-4,-2,4,-2,-1
1519733906206427,1,1,-1,9,4,-1,0,-1
1519733906206427,3,0,-2,-1,2,3,3,1
1519733906213445,-1,-1,-5,-6,-3,-1,1,-1
1519733906213445,-1,-1,-1,4,4,-1,-3,1
1519733906228485,-1,-1,0,-4,-11,-1,-2,1
1519733906228485,0,0,2,1,6,4,1,0
1519733906235503,-3,-4,-3,-2,-5,-5,-5,-3
1519733906235503,0,0,0,5,0,1,4,-1
1519733906243524,-1,-3,-1,-1,2,-4,0,-2
1519733906243524,0,0,0,3,1,1,0,0
1519733906250544,0,-1,0,-7,-10,-4,-7,-5
1519733906250544,-2,-1,-2,-4,-1,-1,-1,-1
1519733906258564,-1,1,1,5,9,8,1,-2
1519733906258564,0,-1,-1,-4,-1,1,-1,0
1519733906265584,1,-1,1,5,3,-1,4,-1
1519733906265584,-2,-3,-3,-10,-14,-9,-8,-3
1519733906280630,-2,-1,1,-1,-1,-1,-2,-1
1519733906280630,1,-1,-1,6,6,3,0,1
1519733906288644,-3,-2,0,1,0,0,-6,-4
1519733906288644,2,1,-1,1,5,8,7,4
1519733906303685,0,-4,-4,-9,-10,-4,-2,1
1519733906303685,-2,0,-1,-3,-2,0,-1,-2
1519733906310704,0,0,-2,-1,2,1,3,4
1519733906310704,-1,1,0,0,1,-1,-1,-2
1519733906318724,-3,-2,-1,-2,-3,-6,6,0
1519733906318724,0,0,1,2,1,4,-3,-2
1519733906325744,-1,-1,-1,-1,1,-2,-1,-1
1519733906325744,0,-1,-1,-4,-2,-1,-2,-1
1519733906340783,0,-1,-2,0,-1,-5,-3,-2
1519733906340783,-1,-1,-2,-3,-1,-2,-2,-1
1519733906348804,0,-1,-1,0,-4,0,0,-1
1519733906348804,-2,-2,-2,-2,-2,0,-3,0
1519733906363857,-2,0,-1,1,-2,1,-1,-1
1519733906363857,-1,-1,-1,-2,-2,-1,1,-1
1519733906370863,-1,0,-1,-1,-1,-2,-3,-1
1519733906370863,0,0,1,2,4,1,0,-1
1519733906378885,-2,-1,-2,0,-3,-4,-7,-1
1519733906378885,0,0,-1,-3,-2,-2,1,-2
1519733906385903,-1,-2,0,-1,0,-2,1,-2
1519733906385903,-1,1,0,2,2,0,-1,-1
1519733906400943,-2,-2,0,1,2,1,0,1
1519733906400943,0,1,0,-1,0,1,0,2
1519733906408977,-1,0,-2,-1,-2,-1,-1,0
1519733906408977,-2,0,-2,-1,0,-2,0,1
1519733906424004,-2,0,-1,-2,0,-1,-1,-2
1519733906424004,0,-1,-2,-2,-3,-1,-1,0
1519733906431023,-2,-1,-2,0,3,1,0,-3
1519733906431023,-1,0,-1,-4,-3,0,-2,0
1519733906439044,0,-2,0,1,-1,-1,-1,-2
1519733906439044,-2,-2,0,0,-2,-2,-2,-1
1519733906446063,-1,-2,-1,-2,-4,-3,-4,-1
1519733906446063,1,-2,-3,-1,-1,0,0,-3
1519733906461103,0,-1,0,0,2,-2,-2,-2
1519733906461103,1,-1,-1,-2,1,0,2,0
1519733906468123,-1,-2,-1,-2,-4,0,0,0
1519733906468123,0,0,-1,-1,-2,-2,0,-1
1519733906487173,-1,0,-1,1,-1,0,-1,-1
1519733906487173,-2,0,-1,-3,-7,-2,-1,0
1519733906491183,-1,0,0,-2,0,-1,1,1
1519733906491183,-2,-1,-1,0,2,2,0,0
1519733906499204,0,-1,1,0,-2,1,0,0
1519733906499204,-3,-2,-1,-2,-2,-2,-1,-1
1519733906506224,-1,-1,0,-1,-2,-1,-1,-1
1519733906506224,-1,-1,0,0,-1,-1,-2,-2
1519733906521263,0,-1,0,-1,-2,1,1,1
1519733906521263,-1,-3,-2,-1,-2,-1,-1,0
1519733906528281,0,0,-1,-1,-1,-2,-2,-2
1519733906528281,-1,-1,-1,-1,0,0,-1,-2
1519733906551343,-3,-1,-1,0,0,-1,-2,-2
1519733906551343,-1,-1,1,-3,-2,0,1,-1
1519733906573401,-2,0,-3,-1,-1,-4,-2,-1
1519733906573401,0,-2,-2,1,-2,-1,-1,-2
1519733906581423,0,-2,0,1,-1,-1,-1,-2
1519733906581423,-1,-1,-1,2,0,-4,-2,1
1519733906596463,-2,0,-3,-1,0,0,-1,-2
1519733906596463,-1,-1,-1,-2,0,-1,0,-2
1519733906603484,0,0,-2,-2,0,-1,-2,-1
1519733906603484,-2,-2,-3,-1,-1,0,-2,-1
1519733906610500,-2,0,0,-2,-1,3,2,2
1519733906610500,-2,-1,0,2,2,0,1,0
1519733906618521,-1,1,1,-1,-2,-1,-2,-1
1519733906618521,2,1,1,-2,2,0,0,0
1519733906625540,3,0,1,-2,0,0,0,0
1519733906625540,1,0,0,-3,-2,-1,-2,-3
1519733906640580,1,0,0,-1,0,3,0,0
1519733906640580,-1,0,-1,-2,-1,2,0,0
1519733906648601,0,-2,1,-1,-3,-3,-2,1
1519733906648601,-2,-2,-1,-1,-3,-1,-1,0
1519733906663641,-2,-1,-2,1,0,1,0,-2
1519733906663641,0,0,0,0,0,0,0,0
1519733906678681,-1,0,-2,0,0,0,0,-2
1519733906678681,-2,-2,-2,-3,-2,-1,-2,-2
1519733906685700,1,1,-2,-1,-1,-2,-2,0
1519733906685700,-2,0,-1,-3,-1,0,0,-2
1519733906700740,-2,-1,-1,0,-1,-1,-1,1
1519733906700740,0,-1,-1,0,1,-1,0,-2
1519733906708761,0,-3,-1,-1,0,0,-1,0
1519733906708761,-2,-1,0,-2,0,-1,0,-1
1519733906723801,-1,-1,-2,0,-3,-4,-1,-1
1519733906723801,-1,-2,0,-1,-1,-1,-2,0
1519733906730820,-1,0,0,1,0,-1,0,0
1519733906730820,0,-1,0,0,-1,1,-1,0
1519733906738841,-1,-2,-1,-1,1,0,0,-1
1519733906738841,-1,1,0,0,0,0,0,-1
1519733906745860,-1,0,-2,-2,-4,-2,-1,-2
1519733906745860,0,-3,0,0,1,-1,0,0
1519733906760900,-3,-2,0,-3,-2,1,-1,-1
1519733906760900,0,-2,-2,0,-1,0,0,1
1519733906768921,-2,-1,-1,-1,0,-2,-3,-2
1519733906768921,-1,1,0,-1,-1,0,0,0
1519733906783961,0,-2,-2,-2,-1,-2,-1,0
1519733906783961,0,-2,0,-1,0,0,2,0
1519733906790980,-1,-2,-3,-2,0,-2,1,0
1519733906790980,0,-1,-1,0,1,-2,0,-1
1519733906799001,1,-1,-1,-1,-2,0,-3,-1
1519733906799001,-2,-1,-1,0,0,0,-1,-1
1519733906806020,-2,-1,0,1,0,1,-2,-1
1519733906806020,-1,0,-1,-1,-1,-1,-2,-1
1519733906821060,-1,-2,1,-1,-2,-1,-1,-1
1519733906821060,-1,0,-1,-1,-1,-1,-1,0
1519733906828079,1,0,-1,1,-2,-1,0,0
1519733906828079,0,-1,-1,0,-1,-1,-4,-3
1519733906843118,-1,0,-1,0,-2,-2,-1,0
1519733906843118,-2,-2,-2,-2,-2,-3,-2,-4
1519733906851140,-3,-4,-1,0,-3,-3,-2,-2
